User,Email / Username,Role,Session,Status,Planned Session Start,Planned Session End,Actual Session Start,Actual Session End,Session Date,Joined,Left,Attendance Status,Grade,Sex,Race,Is Hispanic,School,District,Region,Program,Parents,Custom ID
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:33 PM,10:48 PM,,,03/30/2024,10:33 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:33 PM,10:48 PM,,,03/30/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:17 PM,10:32 PM,10:17 PM,10:22 PM,03/30/2024,10:17 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:17 PM,10:32 PM,10:17 PM,10:22 PM,03/30/2024,10:17 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:15 PM,10:30 PM,,,03/30/2024,10:16 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:15 PM,10:30 PM,,,03/30/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:29 PM,10:44 PM,,,03/29/2024,10:29 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:29 PM,10:44 PM,,,03/29/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:13 PM,10:28 PM,10:14 PM,10:18 PM,03/29/2024,10:13 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:13 PM,10:28 PM,10:14 PM,10:18 PM,03/29/2024,10:14 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:11 PM,10:26 PM,,,03/29/2024,10:11 PM,,Attended,,,,,,,,,,
